City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,28.39,83,40,5.14,MP,1729306571
1,waitangi,-43.9535,-176.5597,12.68,91,4,2.24,NZ,1729306572
2,sinabang,2.4803,96.3801,28.92,70,41,2.01,ID,1729306573
3,severo-yeniseyskiy,60.3725,93.0408,-5.04,93,98,1.67,RU,1729306574
4,bethel,41.3712,-73.414,10.12,72,0,0.0,US,1729306576
5,corumba,-19.0092,-57.6533,22.63,94,89,2.94,BR,1729306577
6,ilgaz,40.9251,33.6259,3.27,94,97,1.71,TR,1729306518
7,frondenberg,51.4667,7.7667,15.02,92,100,4.12,DE,1729306579
8,whitehorse,60.7161,-135.0538,-6.57,85,100,4.12,CA,1729306580
9,punta arenas,-53.15,-70.9167,9.06,81,100,3.6,CL,1729306506
10,keflavik,64.0049,-22.5624,5.24,100,100,7.72,IS,1729306583
11,ciudad de chiautla de tapia,18.2981,-98.6053,20.73,68,78,1.53,MX,1729306584
12,puerto natales,-51.7236,-72.4875,6.63,96,100,2.03,CL,1729306585
13,fort bragg,35.139,-79.006,11.0,80,0,0.0,US,1729306586
14,talnakh,69.4865,88.3972,-5.45,96,100,3.58,RU,1729306581
15,adamstown,-25.066,-130.1015,21.64,78,76,6.38,PN,1729306589
16,puerto baquerizo moreno,-0.9,-89.6,20.71,86,89,4.78,EC,1729306321
17,cabedelo,-6.9811,-34.8339,26.37,80,13,5.91,BR,1729306591
18,chilmari,25.5559,89.6715,26.4,73,0,4.08,BD,1729306592
19,edinburgh of the seven seas,-37.0676,-12.3116,11.75,64,84,2.8,SH,1729306593
20,susuman,62.7833,148.1667,-11.65,85,100,1.44,RU,1729306595
21,ushuaia,-54.8,-68.3,8.81,57,0,1.03,AR,1729306522
22,la passe,45.5549,-0.8967,15.31,93,100,3.77,FR,1729306597
23,antonio enes,-16.2325,39.9086,21.67,82,0,1.3,MZ,1729306598
24,pisco,-13.7,-76.2167,18.03,88,100,2.06,PE,1729306600
25,tiksi,71.6872,128.8694,-10.84,97,91,2.2,RU,1729306601
26,midvagur,62.0511,-7.1939,10.46,93,100,8.23,FO,1729306602
27,port-aux-francais,-49.35,70.2167,4.25,95,100,16.17,TF,1729306603
28,puerto real,36.5282,-6.1901,18.09,94,0,2.57,ES,1729306606
29,tura,25.5198,90.2201,26.1,72,2,0.58,IN,1729306607
30,naze,28.3667,129.4833,27.51,72,0,1.06,JP,1729306608
31,vyetka,52.5591,31.1794,-1.92,100,6,2.0,BY,1729306609
32,olonkinbyen,70.9221,-8.7187,2.07,99,100,7.27,SJ,1729306610
33,flying fish cove,-10.4217,105.6791,26.82,73,75,4.63,CX,1729306612
34,suncho corral,-27.9336,-63.4294,20.58,79,100,2.04,AR,1729306613
35,ilulissat,69.2167,-51.1,-7.99,73,100,2.57,GL,1729306614
36,mount isa,-20.7333,139.5,34.87,31,14,3.09,AU,1729306615
37,vernon,50.2581,-119.2691,6.36,84,100,2.06,CA,1729306616
38,curuzu cuatia,-29.7917,-58.0546,17.07,71,2,3.64,AR,1729306468
39,huarmey,-10.0681,-78.1522,18.23,82,96,3.41,PE,1729306391
40,bikenibeu village,1.3673,173.1241,30.98,74,40,3.6,KI,1729306620
